"","Var1","variable","Covariance","treatment"
"353","NH4","NO3",-0.0886871387594691,"Control2"
"354","PO4","NO3",-0.00401264058919183,"Control2"
"355","ResinP","NO3",0.0202843633314013,"Control2"
"356","WaterSolP","NO3",-0.111691570157017,"Control2"
"357","TotalP2","NO3",-0.232366491847119,"Control2"
"358","Drywt","NH4",0.140438704092765,"Control2"
"359","NO3","NH4",-0.0886871387594691,"Control2"
"360","NH4","NH4",0.0766653601226064,"Control2"
"361","PO4","NH4",0.00346871643528057,"Control2"
"362","ResinP","NH4",-0.0175347636806429,"Control2"
"363","WaterSolP","NH4",0.0965514793748247,"Control2"
"364","TotalP2","NH4",0.200868592978303,"Control2"
"365","Drywt","PO4",0.00635413490860828,"Control2"
"366","NO3","PO4",-0.00401264058919183,"Control2"
"367","NH4","PO4",0.00346871643528057,"Control2"
"368","PO4","PO4",0.000156941722952106,"Control2"
"369","ResinP","PO4",-0.000793358602510129,"Control2"
"370","WaterSolP","PO4",0.00436846188190476,"Control2"
"371","TotalP2","PO4",0.0090882790960773,"Control2"
"372","Drywt","ResinP",-0.0321208885465892,"Control2"
"373","NO3","ResinP",0.0202843633314013,"Control2"
"374","NH4","ResinP",-0.0175347636806429,"Control2"
"375","PO4","ResinP",-0.000793358602510129,"Control2"
"376","ResinP","ResinP",0.00401051970334812,"Control2"
"377","WaterSolP","ResinP",-0.0220830812135557,"Control2"
"378","TotalP2","ResinP",-0.0459423043615129,"Control2"
"379","Drywt","WaterSolP",0.176866900774414,"Control2"
"380","NO3","WaterSolP",-0.111691570157017,"Control2"
"381","NH4","WaterSolP",0.0965514793748247,"Control2"
"382","PO4","WaterSolP",0.00436846188190476,"Control2"
"383","ResinP","WaterSolP",-0.0220830812135557,"Control2"
"384","WaterSolP","WaterSolP",0.121595830953625,"Control2"
"385","TotalP2","WaterSolP",0.252971613007214,"Control2"
"386","Drywt","TotalP2",0.36795920407464,"Control2"
"387","NO3","TotalP2",-0.232366491847119,"Control2"
"388","NH4","TotalP2",0.200868592978303,"Control2"
"389","PO4","TotalP2",0.0090882790960773,"Control2"
"390","ResinP","TotalP2",-0.0459423043615129,"Control2"
"391","WaterSolP","TotalP2",0.252971613007214,"Control2"
"392","TotalP2","TotalP2",0.526289729553955,"Control2"
"393","Drywt","Drywt",0.170869935404597,"Manure10tha"
"394","NO3","Drywt",0.00762516003009611,"Manure10tha"
"395","NH4","Drywt",-0.0546757391967053,"Manure10tha"
"396","PO4","Drywt",-0.37177756953048,"Manure10tha"
